"timestamp","brentoilprice","fuelprice","date_column"
"1552251600000","60.9","6.36","2019-03-11"
"1552338000000","61.05","6.36","2019-03-12"
"1552424400000","61.56","6.36","2019-03-13"
"1552510800000","61.04","6.36","2019-03-14"
"1552597200000","61.01","6.36","2019-03-15"
"1552856400000","61.05","6.36","2019-03-18"
"1552942800000","60.99","6.36","2019-03-19"
"1553029200000","61.03","6.36","2019-03-20"
"1553115600000","61.03","6.36","2019-03-21"
"1553202000000","60.69","6.36","2019-03-22"
"1553461200000","60.77","6.36","2019-03-25"
"1553547600000","60.69","6.36","2019-03-26"
"1553634000000","60.49","6.36","2019-03-27"
"1553720400000","60.62","6.36","2019-03-28"
"1553806800000","60.56","6.36","2019-03-29"
"1554066000000","60.79","6.36","2019-04-01"
"1554152400000","60.51","6.36","2019-04-02"
"1554238800000","60.79","6.36","2019-04-03"
"1554325200000","60.69","6.36","2019-04-04"
"1554411600000","60.64","6.36","2019-04-05"
"1554670800000","60.6","6.36","2019-04-08"
"1554757200000","60.82","6.36","2019-04-09"
"1554843600000","61.03","6.36","2019-04-10"
"1554930000000","60.99","6.43","2019-04-11"
"1555016400000","61.41","6.43","2019-04-12"
"1555275600000","61.97","6.43","2019-04-15"
"1555362000000","61.95","6.43","2019-04-16"
"1555448400000","61.76","6.43","2019-04-17"
"1555534800000","61.64","6.43","2019-04-18"
"1555880400000","61.77","6.43","2019-04-22"
"1555966800000","62.02","6.43","2019-04-23"
"1556053200000","61.96","6.46","2019-04-24"
"1556139600000","61.58","6.46","2019-04-25"
"1556226000000","61.23","6.46","2019-04-26"
"1556485200000","61.09","6.46","2019-04-29"
"1556571600000","61","6.46","2019-04-30"
"1556658000000","61.32","6.46","2019-05-01"
"1556744400000","60.34","6.46","2019-05-02"
"1556830800000","60.14","6.46","2019-05-03"
"1557090000000","60.71","6.46","2019-05-06"
"1557176400000","59.85","6.46","2019-05-07"
"1557262800000","60.42","6.46","2019-05-08"
"1557349200000","59.95","6.46","2019-05-09"
"1557435600000","59.72","6.46","2019-05-10"
"1557694800000","59.51","6.49","2019-05-13"
"1557781200000","59.84","6.49","2019-05-14"
"1557867600000","60.03","6.49","2019-05-15"
"1557954000000","60.06","6.49","2019-05-16"
"1558040400000","59.74","6.49","2019-05-17"
"1558299600000","60.12","6.49","2019-05-20"
"1558386000000","60.14","6.49","2019-05-21"
"1558472400000","59.72","6.49","2019-05-22"
"1558558800000","58.52","6.49","2019-05-23"
"1558645200000","59.78","6.49","2019-05-24"
"1558904400000","60.82","6.49","2019-05-27"
