BrentOilPrice,FuelPrice,USD/TRY
60.08,6.49,6.03
60.1,6.49,6.05
59.7,6.49,6.1
58.53,6.49,6.1
59.78,6.49,6.08
60.82,6.49,6.06
60.82,6.49,6.06
60.82,6.49,6.06
60.29,6.49,6.03
60.49,6.49,6.01
59.33,6.49,5.88
58.23,6.49,5.84
58.56,6.49,5.83
58.56,6.49,5.83
58.56,6.49,5.83
58.37,6.48,5.78
57.09,6.48,5.73
57.93,6.48,5.78
58.92,6.48,5.83
59.34,6.27,5.78
59.34,6.27,5.78
59.34,6.27,5.78
59.79,6.27,5.8
58.54,6.27,5.81
59.16,6.29,5.87
59.24,6.29,5.9
58.97,6.29,5.87
58.97,6.29,5.87
58.97,6.29,5.87
59.71,6.29,5.83
59.35,6.29,5.79
60.33,6.29,5.76
60.3,6.29,5.82
60.5,6.29,5.81
60.5,6.29,5.81
60.5,6.29,5.81
60.77,6.51,5.8
60.95,6.51,5.77
60.79,6.51,5.77
60.28,6.51,5.79
60.33,6.51,5.65
60.33,6.51,5.65
60.33,6.51,5.65
59.25,6.51,5.66
60.09,6.51,5.62
59.79,6.51,5.6
59.67,6.51,5.63
60.06,6.51,5.73
60.06,6.51,5.73
60.06,6.51,5.73
60.68,6.35,5.73
61.35,6.35,5.68
60.66,6.35,5.67
60.14,6.35,5.72
59.81,6.35,5.71
59.81,6.35,5.71
59.81,6.35,5.71
58.84,6.35,5.71
58.91,6.51,5.68
57.89,6.57,5.62
59,6.57,5.66
59.07,6.57,5.68
59.07,6.57,5.68
59.07,6.57,5.68
58.93,6.43,5.72
58.43,6.43,5.71
58.61,6.43,5.7
59,6.43,5.67
58.25,6.43,5.62
58.25,6.43,5.62
58.25,6.43,5.62
58.56,6.43,5.56
58.69,6.43,5.58
56.82,6.43,5.6
58.34,6.43,5.56
58.22,6.43,5.57
58.22,6.43,5.57
58.22,6.43,5.57
57.93,6.43,5.52
57.5,6.43,5.49
57.61,6.43,5.48
58.16,6.09,5.5
58.1,6.09,5.56
58.1,6.09,5.56
58.1,6.09,5.56
59.67,6.09,5.57
58.17,6.09,5.61
57.42,6.09,5.57
57.35,6.09,5.58
57.39,6.09,5.66
57.39,6.09,5.66
57.39,6.09,5.66
57.17,6.27,5.73
57.33,6.27,5.72
57.14,6.27,5.77
56.99,6.27,5.76
56.98,6.27,5.82
56.98,6.27,5.82
56.98,6.27,5.82
57.48,6.38,5.83
57.54,6.38,5.82
57.49,6.38,5.84
56.58,6.38,5.83
56.82,6.38,5.81
56.82,6.38,5.81
56.82,6.38,5.81
56.82,6.38,5.73
57.61,6.38,5.66
57.74,6.38,5.69
57.76,6.38,5.71
57.97,6.38,5.75
57.97,6.38,5.75
57.97,6.38,5.75
58.2,6.38,5.77
57.55,6.38,5.75
57.29,6.38,5.66
56.71,6.38,5.69
57.94,6.38,5.73
57.94,6.38,5.73
57.94,6.38,5.73
57.75,6.45,5.7
57.16,6.57,5.68
56.99,6.57,5.72
57.33,6.57,5.74
58.06,6.57,5.72
58.06,6.57,5.72
58.06,6.57,5.72
57.5,6.57,5.7
57.39,6.57,5.67
57.52,6.57,5.67
57.25,6.57,5.67
56.71,6.57,5.65
56.71,6.57,5.65
56.71,6.57,5.65
56.9,6.57,5.72
56.94,6.57,5.7
56.42,6.49,5.69
57.15,6.49,5.7
56.91,6.49,5.83
56.91,6.49,5.83
56.91,6.49,5.83
56.96,6.49,5.83
56.9,6.49,5.87
56.57,6.49,5.84
57.01,6.49,5.88
57.04,6.49,5.93
57.04,6.49,5.93
57.04,6.49,5.93
56.51,6.49,5.92
56.74,6.49,5.89
56.67,6.49,5.83
56.5,6.49,5.79
56.71,6.49,5.86
56.71,6.49,5.86
56.71,6.49,5.86
56.7,6.59,5.81
57.15,6.59,5.74
57.33,6.59,5.76
57.5,6.59,5.77
57.23,6.59,5.73
57.23,6.59,5.73
57.23,6.59,5.73
57.34,6.59,5.74
56.54,6.59,5.7
56.49,6.59,5.71
57.79,6.59,5.71
57.57,6.59,5.74
57.57,6.59,5.74
57.57,6.59,5.74
57.85,6.59,5.75
57.02,6.59,5.75
57.03,6.59,5.75
57.25,6.59,5.77
57.09,6.59,5.77
57.09,6.59,5.77
57.09,6.59,5.77
57.24,6.59,5.78
57.41,6.59,5.74
57.03,6.59,5.75
57.43,6.59,5.75
56.99,6.59,5.74
56.99,6.59,5.74
56.99,6.59,5.74
56.53,6.59,5.7
57.21,6.59,5.7
57.66,6.59,5.7
57.18,6.59,5.71
57.22,6.59,5.74
57.22,6.59,5.74
57.22,6.59,5.74
57.41,6.53,5.76
56.94,6.53,5.77
57.31,6.53,5.76
55.67,6.53,5.75
56.44,6.53,5.74
56.44,6.53,5.74
56.44,6.53,5.74
56.48,6.53,5.74
57.13,6.53,5.75
56.81,6.53,5.75
56.56,6.53,5.78
56.64,6.53,5.81
56.64,6.53,5.81
56.64,6.53,5.81
56.75,6.53,5.81
56.51,6.53,5.8
56.7,6.53,5.79
56.67,6.53,5.81
57.03,6.53,5.85
57.03,6.53,5.85
57.03,6.53,5.85
56.74,6.53,5.89
56.62,6.53,5.93
56.5,6.53,5.94
56.49,6.53,5.94
56.51,6.53,5.95
56.51,6.53,5.95
56.51,6.53,5.95
56.74,6.59,5.95
56.73,6.59,5.94
56.73,6.59,5.93
57,6.59,5.95
57.04,6.59,5.95
57.04,6.59,5.95
57.04,6.59,5.95
56.66,6.59,5.95
57.07,6.59,5.95
57.07,6.59,5.96
56.7,6.59,5.97
56.68,6.59,5.97
56.68,6.59,5.97
56.68,6.59,5.97
57.08,6.59,5.97
56.33,6.59,5.91
56.56,6.59,5.87
56.47,6.59,5.88
56.46,6.59,5.87
56.46,6.59,5.87
56.46,6.59,5.87
56.42,6.59,5.88
56.3,6.59,5.88
56.46,6.64,5.86
56.5,6.64,5.89
56.52,6.64,5.92
56.52,6.64,5.92
56.52,6.64,5.92
56.82,6.64,5.94
56.27,6.64,5.92
55.27,6.64,5.93
54.61,6.64,5.94
54.79,6.64,5.94
54.79,6.64,5.94
54.79,6.64,5.94
54.93,6.43,5.94
54.83,6.43,5.96
55.03,6.43,5.97
55.07,6.43,5.98
55.3,6.43,5.99
55.3,6.43,5.99
55.3,6.43,5.99
55.12,6.43,5.98
55.46,6.43,5.98
56.04,6.43,5.99
56.24,6.43,6.01
56.26,6.43,6.01
56.26,6.43,6.01
56.26,6.43,6.01
55.94,6.43,6.02
55.87,6.43,6.04
55.48,6.43,6.04
55.57,6.43,6.06
55.96,6.43,6.04
55.96,6.43,6.04
55.96,6.43,6.04
56.17,6.43,6.06
56.36,6.43,6.08
56.52,6.43,6.1
56.44,6.43,6.1
56.46,6.43,6.12
56.46,6.43,6.12
56.46,6.43,6.12
55.19,6.43,6.14
54.78,6.43,6.16
54.66,6.43,6.21
53.3,6.43,6.25
54.13,6.3,6.18
54.13,6.3,6.18
54.13,6.3,6.18
54.4,6.3,6.11
54.52,6.3,6.08
54.19,6.3,6.11
53.79,6.3,6.09
50.44,6.3,6.15
50.44,6.3,6.15
50.44,6.3,6.15
51.5,6.3,6.16
51.72,5.78,6.21
51.84,5.78,6.32
50.78,5.78,6.33
48.22,5.78,6.43
48.22,5.78,6.43
48.22,5.78,6.43
47.88,5.78,6.4
44.88,5.78,6.48
44.74,5.51,6.54
43.83,5.31,6.55
45.06,5.42,6.56
45.06,5.42,6.56
45.06,5.42,6.56
45.64,5.42,6.42
46.74,5.42,6.42
46.01,5.42,6.4
46.55,5.42,6.45
46.61,5.42,6.57
46.61,5.42,6.57
46.61,5.42,6.57
46.5,5.48,6.62
45.4,5.4,6.7
45.71,5.4,6.61
45.1,5.4,6.73
46.27,5.4,6.78
46.27,5.4,6.78
46.27,5.4,6.78
47.16,5.4,6.76
46.67,5.4,6.77
46.85,5.55,6.67
47.08,5.46,6.7
47.08,5.39,6.77
47.08,5.39,6.77
47.08,5.39,6.77
47.8,5.39,6.82
46.11,5.39,6.91
46.17,5.39,6.94
46.11,5.17,6.93
46.26,5.28,6.94
46.26,5.28,6.94
46.26,5.28,6.94
43.42,5.28,6.98
44.66,5.28,6.98
44.09,4.87,6.95
43.85,4.87,6.97
43.66,4.87,6.99
43.66,4.87,6.99
