BrentOilPrice,FuelPrice,USD/TRY
58.01,6.09,5.5644
59.57,6.09,5.5654
58.07,6.09,5.6123
57.32,6.09,5.5672
57.25,6.09,5.5796
57.3,6.09,5.6603
57.09,6.27,5.7314
57.25,6.27,5.7166
57.07,6.27,5.7686
56.9,6.27,5.7593
56.89,6.27,5.8235
57.4,6.38,5.8278
57.46,6.38,5.8151
57.41,6.38,5.8382
56.49,6.38,5.8324
56.74,6.38,5.8065
56.74,6.38,5.729
57.55,6.38,5.6646
57.69,6.38,5.6917
57.71,6.38,5.7118
57.91,6.38,5.7492
58.14,6.38,5.7693
57.49,6.38,5.7495
57.23,6.38,5.6579
56.66,6.38,5.6873
57.92,6.38,5.7285
57.72,6.45,5.7009
57.13,6.57,5.6768
56.97,6.57,5.7187
57.3,6.57,5.743
58.03,6.57,5.7177
57.46,6.57,5.6979
57.33,6.57,5.6697
57.46,6.57,5.6672
57.18,6.57,5.6726
56.63,6.57,5.6504
56.82,6.57,5.7231
56.85,6.57,5.701
56.33,6.49,5.6948
57.06,6.49,5.6989
56.82,6.49,5.8324
56.87,6.49,5.8302
56.81,6.49,5.8702
56.5,6.49,5.8361
56.97,6.49,5.8833
56.99,6.49,5.9276
56.46,6.49,5.9158
56.69,6.49,5.887
56.62,6.49,5.8312
56.46,6.49,5.7896
56.66,6.49,5.8579
56.65,6.59,5.8083
57.11,6.59,5.7354
57.28,6.59,5.7645
57.46,6.59,5.7738
57.19,6.59,5.7314
57.3,6.59,5.7373
56.49,6.59,5.7011
56.42,6.59,5.7136
57.73,6.59,5.7127
57.52,6.59,5.7384
57.82,6.59,5.7535
56.99,6.59,5.7498
56.99,6.59,5.7526
57.21,6.59,5.7662
57.06,6.59,5.7715
57.21,6.59,5.7769
57.38,6.59,5.7396
57,6.59,5.748
57.41,6.59,5.7477
56.97,6.59,5.7357
56.5,6.59,5.699
57.18,6.59,5.6998
57.64,6.59,5.697
57.16,6.59,5.713
57.2,6.59,5.7418
57.4,6.53,5.7593
56.93,6.53,5.7745
57.3,6.53,5.7572
55.63,6.53,5.7504
56.4,6.53,5.741
56.45,6.53,5.7421
57.11,6.53,5.749
56.79,6.53,5.7486
56.55,6.53,5.7758
56.63,6.53,5.8094
56.74,6.53,5.8054
56.49,6.53,5.8035
56.69,6.53,5.7914
56.67,6.53,5.8061
57.03,6.53,5.8496
56.73,6.53,5.8864
56.61,6.53,5.9269
56.5,6.53,5.9417
56.49,6.53,5.938
56.51,6.53,5.9488
56.74,6.59,5.9498
56.74,6.59,5.9324
57.01,6.59,5.9494
57.05,6.59,5.9478
56.66,6.59,5.9511
57.07,6.59,5.9574
56.71,6.59,5.9716
56.7,6.59,5.9692
57.1,6.59,5.9724
56.33,6.59,5.9082
56.56,6.59,5.8745
56.48,6.59,5.8808
56.46,6.59,5.8675
56.42,6.59,5.8815
56.29,6.59,5.8751
56.46,6.64,5.8595
56.5,6.64,5.8862
56.52,6.64,5.9156
56.82,6.64,5.938
56.26,6.64,5.9249
55.26,6.64,5.9345
54.59,6.64,5.939
54.75,6.64,5.9438
54.89,6.43,5.9408
54.79,6.43,5.9594
54.99,6.43,5.9696
55.03,6.43,5.9829
55.26,6.43,5.985
55.07,6.43,5.9805
55.42,6.43,5.9827
56,6.43,5.9878
56.19,6.43,6.0146
56.21,6.43,6.0114
55.9,6.43,6.0153
55.85,6.43,6.0445
55.47,6.43,6.0396
55.56,6.43,6.0587
55.94,6.43,6.0449
56.15,6.43,6.0639
56.35,6.43,6.0832
56.5,6.43,6.0963
56.42,6.43,6.0953
56.43,6.43,6.1178
55.16,6.43,6.1439
54.73,6.43,6.1581
54.61,6.43,6.209
53.24,6.43,6.2469
54.08,6.3,6.1795
54.36,6.3,6.108
54.48,6.3,6.0772
54.14,6.3,6.1095
53.71,6.3,6.0916
50.3,6.3,6.1467
51.38,6.3,6.1574
51.59,5.78,6.2099
51.67,5.78,6.3169
50.6,5.78,6.3331
48.03,5.78,6.4311
47.68,5.78,6.3974
44.68,5.78,6.4819
44.59,5.51,6.5434
43.66,5.31,6.5508
44.9,5.42,6.5618
45.48,5.42,6.4191
46.58,5.42,6.4171
45.84,5.42,6.3983
46.38,5.42,6.4542
46.44,5.42,6.5739
46.33,5.48,6.6152
45.23,5.4,6.7026
45.53,5.4,6.6058
44.94,5.4,6.7309
46.1,5.4,6.7789
47,5.4,6.7645
46.49,5.4,6.774
46.69,5.55,6.6731
46.93,5.46,6.7701
47.64,5.39,6.8166
